id,faction,nom,type,sous_type,cout,pv,puissance,mission,effet,note_design,source_factuelle,basique
USA-001,États-Unis,F-22A Raptor — Percée discrète,Appareil,Chasseur de supériorité,7,12,7,2,"Attaque 7 — frappe de précision. **Furtif.** **Réseau —** au déploiement, placez un Verrouillage sur un Appareil adverse.","V = 12 + 1,5×7 + 2,5×2 + 2,0 + 1,5 − 0,0 = 31,0; cible T(7) = 31 (écart +0,0).",USAF — fiche et emploi officiel 2026,False
USA-002,États-Unis,F-22A Raptor — Fusion de capteurs,Appareil,Chasseur de supériorité,7,14,6,2,"Attaque 6 — engagement coordonné. **Furtif.** Au déploiement, regardez les 2 premières cartes de votre deck; gardez-en une et placez l’autre dessous.","V = 14 + 1,5×6 + 2,5×2 + 2,0 + 1,5 − 0,0 = 31,5; cible T(7) = 31 (écart +0,5).",USAF — fiche et emploi officiel 2026,False
USA-003,États-Unis,F-35A Lightning II — Percée discrète,Appareil,Chasseur multirôle,6,10,6,2,"Attaque 6 — frappe de précision. **Furtif.** **Réseau —** au déploiement, placez un Verrouillage sur un Appareil adverse.","V = 10 + 1,5×6 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,5; cible T(6) = 27 (écart +0,5).",USAF — fiche officielle F-35A,False
USA-004,États-Unis,F-35A Lightning II — Fusion de capteurs,Appareil,Chasseur multirôle,6,11,5,2,"Attaque 5 — engagement coordonné. **Furtif.** Au déploiement, regardez les 2 premières cartes de votre deck; gardez-en une et placez l’autre dessous.","V = 11 + 1,5×5 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",USAF — fiche officielle F-35A,False
USA-005,États-Unis,F-35B Lightning II — Percée discrète,Appareil,Chasseur STOVL,6,10,6,2,"Attaque 6 — frappe de précision. **Furtif.** **Réseau —** au déploiement, placez un Verrouillage sur un Appareil adverse.","V = 10 + 1,5×6 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,5; cible T(6) = 27 (écart +0,5).",USMC — opérations distribuées,False
USA-006,États-Unis,F-35B Lightning II — Fusion de capteurs,Appareil,Chasseur STOVL,6,11,5,2,"Attaque 5 — engagement coordonné. **Furtif.** Au déploiement, regardez les 2 premières cartes de votre deck; gardez-en une et placez l’autre dessous.","V = 11 + 1,5×5 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",USMC — opérations distribuées,False
USA-007,États-Unis,F-35C Lightning II — Percée discrète,Appareil,Chasseur embarqué,6,10,6,2,"Attaque 6 — frappe de précision. **Furtif.** **Réseau —** au déploiement, placez un Verrouillage sur un Appareil adverse.","V = 10 + 1,5×6 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,5; cible T(6) = 27 (écart +0,5).",US Navy — Carrier Air Wing,False
USA-008,États-Unis,F-35C Lightning II — Fusion de capteurs,Appareil,Chasseur embarqué,6,11,5,2,"Attaque 5 — engagement coordonné. **Furtif.** Au déploiement, regardez les 2 premières cartes de votre deck; gardez-en une et placez l’autre dessous.","V = 11 + 1,5×5 + 2,5×2 + 2,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",US Navy — Carrier Air Wing,False
USA-009,États-Unis,F-15EX Eagle II — Patrouille de supériorité,Appareil,Chasseur de supériorité,6,14,6,1,"Attaque 6 — combat air-air. **Agile.** Quand cet Appareil retire un Verrouillage, il gagne +1 Puissance supplémentaire pour cette Interception.","V = 14 + 1,5×6 + 2,5×1 + 1,0 + 1,0 − 0,0 = 27,5; cible T(6) = 27 (écart +0,5).",USAF — emploi officiel 2026,False
USA-010,États-Unis,F-15EX Eagle II — Frappe en réseau,Appareil,Chasseur de supériorité,6,13,5,2,"Attaque 5 — attaque multirôle. **Réseau —** la première Tactique que vous jouez sur cet Appareil à chaque tour coûte 1 de moins, minimum 1.","V = 13 + 1,5×5 + 2,5×2 + 0,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",USAF — emploi officiel 2026,False
USA-011,États-Unis,F-15E Strike Eagle — Patrouille de supériorité,Appareil,Chasseur d’attaque,6,14,6,1,"Attaque 6 — combat air-air. **Agile.** Quand cet Appareil retire un Verrouillage, il gagne +1 Puissance supplémentaire pour cette Interception.","V = 14 + 1,5×6 + 2,5×1 + 1,0 + 1,0 − 0,0 = 27,5; cible T(6) = 27 (écart +0,5).",USAF — emploi officiel 2026,False
USA-012,États-Unis,F-15E Strike Eagle — Frappe en réseau,Appareil,Chasseur d’attaque,6,13,5,2,"Attaque 5 — attaque multirôle. **Réseau —** la première Tactique que vous jouez sur cet Appareil à chaque tour coûte 1 de moins, minimum 1.","V = 13 + 1,5×5 + 2,5×2 + 0,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",USAF — emploi officiel 2026,False
USA-013,États-Unis,F-16C Fighting Falcon — Patrouille de supériorité,Appareil,Chasseur multirôle,4,8,4,1,"Attaque 4 — combat air-air. **Agile.** Quand cet Appareil retire un Verrouillage, il gagne +1 Puissance supplémentaire pour cette Interception.","V = 8 + 1,5×4 + 2,5×1 + 1,0 + 1,0 − 0,0 = 18,5; cible T(4) = 19 (écart -0,5).",USAF — emploi officiel 2026,False
USA-014,États-Unis,F-16C Fighting Falcon — Frappe en réseau,Appareil,Chasseur multirôle,4,8,3,2,"Attaque 3 — attaque multirôle. **Réseau —** la première Tactique que vous jouez sur cet Appareil à chaque tour coûte 1 de moins, minimum 1.","V = 8 + 1,5×3 + 2,5×2 + 0,0 + 1,5 − 0,0 = 19,0; cible T(4) = 19 (écart +0,0).",USAF — emploi officiel 2026,False
USA-015,États-Unis,F/A-18E Super Hornet — Patrouille de supériorité,Appareil,Chasseur embarqué,5,11,5,1,"Attaque 5 — combat air-air. **Agile.** Quand cet Appareil retire un Verrouillage, il gagne +1 Puissance supplémentaire pour cette Interception.","V = 11 + 1,5×5 + 2,5×1 + 1,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",NAVAIR — fiche Super Hornet,False
USA-016,États-Unis,F/A-18E Super Hornet — Frappe en réseau,Appareil,Chasseur embarqué,5,10,4,2,"Attaque 4 — attaque multirôle. **Réseau —** la première Tactique que vous jouez sur cet Appareil à chaque tour coûte 1 de moins, minimum 1.","V = 10 + 1,5×4 + 2,5×2 + 0,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",NAVAIR — fiche Super Hornet,False
USA-017,États-Unis,F/A-18F Super Hornet — Patrouille de supériorité,Appareil,Chasseur embarqué biplace,5,11,5,1,"Attaque 5 — combat air-air. **Agile.** Quand cet Appareil retire un Verrouillage, il gagne +1 Puissance supplémentaire pour cette Interception.","V = 11 + 1,5×5 + 2,5×1 + 1,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",NAVAIR — fiche Super Hornet,False
USA-018,États-Unis,F/A-18F Super Hornet — Frappe en réseau,Appareil,Chasseur embarqué biplace,5,10,4,2,"Attaque 4 — attaque multirôle. **Réseau —** la première Tactique que vous jouez sur cet Appareil à chaque tour coûte 1 de moins, minimum 1.","V = 10 + 1,5×4 + 2,5×2 + 0,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",NAVAIR — fiche Super Hornet,False
USA-019,États-Unis,EA-18G Growler — Brouillage d’escorte,Appareil,Guerre électronique,5,11,3,2,"Attaque 3 — attaque électronique. **Agile.** Au déploiement, un Appareil adverse perd Furtif jusqu’à la fin de votre prochain tour.","V = 11 + 1,5×3 + 2,5×2 + 1,0 + 1,5 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",NAVAIR — fiche Growler et NGJ-MB,False
USA-020,États-Unis,EA-18G Growler — Ouverture de corridor,Appareil,Guerre électronique,5,13,2,2,"Attaque 2 — suppression électromagnétique. **Réseau —** quand cet Appareil accomplit une Mission, placez un Verrouillage.","V = 13 + 1,5×2 + 2,5×2 + 0,0 + 2,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",NAVAIR — fiche Growler et NGJ-MB,False
USA-021,États-Unis,E-2D Advanced Hawkeye — Veille avancée,Appareil,Alerte avancée,5,14,2,2,"Attaque 2 — autodéfense. Au déploiement, piochez une carte, puis défaussez une carte.","V = 14 + 1,5×2 + 2,5×2 + 0,0 + 1,0 − 0,0 = 23,0; cible T(5) = 23 (écart +0,0).",US Navy — Carrier Air Wing,False
USA-022,États-Unis,E-2D Advanced Hawkeye — Gestion de bataille,Appareil,Alerte avancée,5,14,1,2,"Attaque 1 — coordination défensive. **Réseau —** une fois par tour, quand un autre Appareil accomplit une Mission, regardez la première carte de votre deck; vous pouvez la placer dessous.","V = 14 + 1,5×1 + 2,5×2 + 0,0 + 2,0 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",US Navy — Carrier Air Wing,False
USA-023,États-Unis,B-1B Lancer — Frappe à distance,Appareil,Bombardier,7,12,8,3,Attaque 8 — charge stratégique. Cet Appareil ne peut pas intercepter un Appareil de coût 2 ou moins.,"V = 12 + 1,5×8 + 2,5×3 + 0,0 + 0,5 − 1,5 = 30,5; cible T(7) = 31 (écart -0,5).",USAF — flotte active,False
