id,faction,nom,type,sous_type,cout,pv,puissance,mission,effet,note_design,source_factuelle,basique
RUS-001,Russie,Su-57 — Approche à faible signature,Appareil,Chasseur multirôle furtif,7,12,7,2,"Attaque 7 — frappe multirôle. **Furtif.** **Formation —** après son déploiement, un autre Appareil gagne Agile jusqu’à votre prochain tour.","V = 12 + 1,5×7 + 2,5×2 + 2,0 + 1,0 − 0,0 = 30,5; cible T(7) = 31 (écart -0,5).",UAC Su-57; RUSI 2026,False
RUS-002,Russie,Su-57 — Chasse à longue portée,Appareil,Chasseur multirôle furtif,7,14,8,1,"Attaque 8 — engagement au-delà de la vue. **Furtif.** Quand cet Appareil intercepte une cible de Mission 2 ou plus, il gagne +1 Puissance.","V = 14 + 1,5×8 + 2,5×1 + 2,0 + 1,0 − 0,0 = 31,5; cible T(7) = 31 (écart +0,5).",UAC Su-57; RUSI 2026,False
RUS-003,Russie,Su-35S — Patrouille guidée du sol,Appareil,Chasseur de supériorité,6,13,6,1,Attaque 6 — interception lourde. **Blindage 1.** **Formation —** cet Appareil gagne +1 Puissance pendant sa première Interception de chaque tour.,"V = 13 + 1,5×6 + 2,5×1 + 1,5 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",UAC Su-35; RUSI 2026,False
RUS-004,Russie,Su-35S — Couverture en formation,Appareil,Chasseur de supériorité,6,13,5,2,"Attaque 5 — combat multirôle. Tant qu’un autre Appareil est redressé, le premier dégât infligé à cet Appareil chaque tour est prévenu.","V = 13 + 1,5×5 + 2,5×2 + 0,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",UAC Su-35; RUSI 2026,False
RUS-005,Russie,Su-30SM — Patrouille guidée du sol,Appareil,Chasseur multirôle,5,10,5,1,Attaque 5 — interception lourde. **Blindage 1.** **Formation —** cet Appareil gagne +1 Puissance pendant sa première Interception de chaque tour.,"V = 10 + 1,5×5 + 2,5×1 + 1,5 + 1,0 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",UAC famille Su-30SM,False
RUS-006,Russie,Su-30SM — Couverture en formation,Appareil,Chasseur multirôle,5,10,4,2,"Attaque 4 — combat multirôle. Tant qu’un autre Appareil est redressé, le premier dégât infligé à cet Appareil chaque tour est prévenu.","V = 10 + 1,5×4 + 2,5×2 + 0,0 + 1,5 − 0,0 = 22,5; cible T(5) = 23 (écart -0,5).",UAC famille Su-30SM,False
RUS-007,Russie,Su-30SM2 — Patrouille guidée du sol,Appareil,Chasseur multirôle modernisé,6,13,6,1,Attaque 6 — interception lourde. **Blindage 1.** **Formation —** cet Appareil gagne +1 Puissance pendant sa première Interception de chaque tour.,"V = 13 + 1,5×6 + 2,5×1 + 1,5 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",RUSI 2026,False
RUS-008,Russie,Su-30SM2 — Couverture en formation,Appareil,Chasseur multirôle modernisé,6,13,5,2,"Attaque 5 — combat multirôle. Tant qu’un autre Appareil est redressé, le premier dégât infligé à cet Appareil chaque tour est prévenu.","V = 13 + 1,5×5 + 2,5×2 + 0,0 + 1,5 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",RUSI 2026,False
RUS-009,Russie,Su-34 — Frappe tout temps,Appareil,Chasseur-bombardier,6,12,5,2,Attaque 5 — attaque guidée. **Blindage 1.** **Formation —** retirez 1 dégât de cet Appareil lorsqu’il accomplit une Mission.,"V = 12 + 1,5×5 + 2,5×2 + 1,5 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",UAC Su-34; RUSI 2026,False
RUS-010,Russie,Su-34 — Appui de profondeur,Appareil,Chasseur-bombardier,6,13,6,1,"Attaque 6 — attaque lourde. **Barrage 1.** Après l’Interception, la cible ne peut pas être redressée par un effet ce tour.","V = 13 + 1,5×6 + 2,5×1 + 1,5 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",UAC Su-34; RUSI 2026,False
RUS-011,Russie,MiG-31BM — Patrouille guidée du sol,Appareil,Intercepteur,6,13,6,1,Attaque 6 — interception lourde. **Blindage 1.** **Formation —** cet Appareil gagne +1 Puissance pendant sa première Interception de chaque tour.,"V = 13 + 1,5×6 + 2,5×1 + 1,5 + 1,0 − 0,0 = 27,0; cible T(6) = 27 (écart +0,0).",Sources publiques corroborées,False
